DSRC_MessageID,Vehicle ID,BSM_tmp_ID, transtime, X, Y, Speed, Instant_Acceleration, Heading, brakeStatus, brakePressure, hardBraking,  transTo, transmission_received_time
2,,217137463,7848,900000001,1800000001,8191,2001,360,,,,,
2,,217137463,7949,900000001,1800000001,8191,2001,360,,,,,
2,,217137463,8048,900000001,1800000001,8191,2001,360,,,,,
2,,217137463,8149,900000001,1800000001,8191,2001,360,,,,,
2,,217137463,8249,900000001,1800000001,8191,2001,360,,,,,
2,,217137463,8348,900000001,1800000001,8191,2001,360,,,,,
2,,217137463,8449,900000001,1800000001,8191,2001,360,,,,,
2,,217137463,8559,900000001,1800000001,8191,2001,360,,,,,
2,,217137463,8673,900000001,1800000001,0,2001,134.962,,,,,
2,,217137463,8755,389564531,-771503781,0,2001,134.95,,,,,
2,,217137463,8852,389564531,-771503781,0,2001,134.95,,,,,
2,,217137463,8954,389564531,-771503781,0,2001,134.95,,,,,
2,,217137463,9051,389564531,-771503781,0,2001,134.95,,,,,
2,,217137463,9169,389564531,-771503781,0,2001,134.95,,,,,
2,,217137463,9252,389564531,-771503781,0,2001,134.95,,,,,
2,,217137463,9463,389564531,-771503781,0,2001,134.925,,,,,
2,,217137463,9555,389564531,-771503781,0,2001,134.925,,,,,
2,,217137463,9761,389564531,-771503781,0,2001,134.913,,,,,
2,,217137463,9863,389564531,-771503781,0,2001,134.913,,,,,
2,,217137463,9960,389564531,-771503781,0,2001,134.9,,,,,
2,,217137463,10062,389564531,-771503781,0,2001,134.9,,,,,
2,,217137463,10157,389564531,-771503781,0,2001,134.913,,,,,
2,,217137463,10268,389564531,-771503781,0,2001,134.9,,,,,
2,,217137463,10363,389564531,-771503781,0,2001,134.9,,,,,
2,,217137463,10460,389564531,-771503781,0,2001,134.913,,,,,
2,,217137463,10559,389564531,-771503781,0,2001,134.913,,,,,
2,,217137463,10757,389564531,-771503781,0,2001,134.9,,,,,
2,,217137463,11460,389564531,-771503781,0,2001,134.9,,,,,
2,,217137463,11561,389564531,-771503781,0,2001,134.9,,,,,
2,,217137463,11660,389564531,-771503781,0,2001,134.9,,,,,
2,,217137463,11859,389564531,-771503781,0,2001,134.875,,,,,
2,,217137463,11959,389564531,-771503781,0,2001,134.875,,,,,
2,,217137463,12059,389564531,-771503781,0,2001,134.875,,,,,
2,,217137463,12159,389564531,-771503781,0,2001,134.863,,,,,
2,,217137463,12360,389564531,-771503781,0,2001,134.863,,,,,
2,,217137463,12560,389564531,-771503781,0,2001,134.863,,,,,
2,,217137463,12662,389564531,-771503781,0,2001,134.863,,,,,
2,,217137463,12761,389564531,-771503781,0,2001,134.863,,,,,
2,,217137463,12959,389564531,-771503781,0,2001,134.863,,,,,
2,,217137463,13059,389564531,-771503781,0,2001,134.863,,,,,
2,,217137463,13160,389564531,-771503781,0,2001,134.863,,,,,
2,,217137463,13260,389564531,-771503781,0,2001,134.863,,,,,
2,,217137463,13360,389564531,-771503781,0,2001,134.863,,,,,
2,,217137463,13460,389564531,-771503781,0,2001,134.85,,,,,
2,,217137463,13561,389564531,-771503781,0,2001,134.85,,,,,
2,,217137463,13762,389564531,-771503781,0,2001,134.837,,,,,
2,,217137463,13861,389564531,-771503781,0,2001,134.837,,,,,
2,,217137463,13961,389564531,-771503781,0,2001,134.837,,,,,
2,,217137463,14062,389564531,-771503781,0,2001,134.825,,,,,
2,,217137463,14162,389564531,-771503781,0,2001,134.825,,,,,
2,,217137463,14261,389564531,-771503781,0,2001,134.825,,,,,
2,,217137463,14362,389564531,-771503781,0,2001,134.812,,,,,
2,,217137463,14462,389564531,-771503781,0,2001,134.812,,,,,
2,,217137463,14561,389564531,-771503781,0,2001,134.812,,,,,
2,,217137463,14661,389564531,-771503781,0,2001,134.812,,,,,
2,,217137463,14762,389564531,-771503781,0,2001,134.812,,,,,
2,,217137463,14861,389564531,-771503781,0,2001,134.812,,,,,
2,,217137463,14961,389564531,-771503781,0,2001,134.8,,,,,
