vehicle ID,vehicle type,time,number of records,link ID,lane ID,location,speed,acceleration,lat,lon
-1098526980,1,1.57E+12,1587,1,1,0,-99999,-99999,38.9563399,-77.1498116
-1098526980,1,1.57E+12,1587,1,1,0,0,5,38.9565254,-77.1502893
-1098526980,1,1.57E+12,1587,1,1,0,0,1,38.9565253,-77.1502891
-1098526980,1,1.57E+12,1587,1,1,0,0,1,38.9565253,-77.1502891
-1098526980,1,1.57E+12,1587,1,1,0,0,-1,38.9565252,-77.150289
-1098526980,1,1.57E+12,1587,1,1,0,0,-1,38.9565252,-77.150289
-1098526980,1,1.57E+12,1587,1,1,0,0,-4,38.9565251,-77.150289
-1098526980,1,1.57E+12,1587,1,1,0,0,3,38.9565251,-77.150289
-1098526980,1,1.57E+12,1587,1,1,0,0,3,38.9565251,-77.150289
-1098526980,1,1.57E+12,1587,1,1,0,0,1,38.9565251,-77.150289
-1098526980,1,1.57E+12,1587,1,1,0,0,1,38.9565251,-77.150289
-1098526980,1,1.57E+12,1587,1,1,0,0,1,38.9565252,-77.150289
-1098526980,1,1.57E+12,1587,1,1,0,0,1,38.9565252,-77.150289
-1098526980,1,1.57E+12,1587,1,1,0,0,-1,38.9565252,-77.1502891
-1098526980,1,1.57E+12,1587,1,1,0,0,11,38.9565253,-77.1502893
-1098526980,1,1.57E+12,1587,1,1,0,0,1,38.9565254,-77.1502894
-1098526980,1,1.57E+12,1587,1,1,0,0,-4,38.9565254,-77.1502895
-1098526980,1,1.57E+12,1587,1,1,0,0,-4,38.9565254,-77.1502895
-1098526980,1,1.57E+12,1587,1,1,0,0,-3,38.9565254,-77.1502895
-1098526980,1,1.57E+12,1587,1,1,0,0,7,38.9565254,-77.1502896
-1098526980,1,1.57E+12,1587,1,1,0,0,-10,38.9565254,-77.1502895
-1098526980,1,1.57E+12,1587,1,1,0,0,7,38.9565254,-77.1502896
-1098526980,1,1.57E+12,1587,1,1,0,0,-10,38.9565254,-77.1502895
-1098526980,1,1.57E+12,1587,1,1,0,0,7,38.9565254,-77.1502895
-1098526980,1,1.57E+12,1587,1,1,0,0,7,38.9565254,-77.1502895
-1098526980,1,1.57E+12,1587,1,1,0,0,-4,38.9565254,-77.1502894
-1098526980,1,1.57E+12,1587,1,1,0,0,-4,38.9565254,-77.1502894
-1098526980,1,1.57E+12,1587,1,1,0,0,3,38.9565254,-77.1502893
-1098526980,1,1.57E+12,1587,1,1,0,0,1,38.9565254,-77.1502892
-1098526980,1,1.57E+12,1587,1,1,0,0,1,38.9565254,-77.1502892
-1098526980,1,1.57E+12,1587,1,1,0,0,1,38.9565254,-77.1502892
-1098526980,1,1.57E+12,1587,1,1,0,0,-3,38.9565254,-77.1502892
-1098526980,1,1.57E+12,1587,1,1,0,0,-3,38.9565254,-77.1502892
-1098526980,1,1.57E+12,1587,1,1,0,0,-3,38.9565254,-77.1502891
-1098526980,1,1.57E+12,1587,1,1,0,0,-3,38.9565254,-77.1502891
-1098526980,1,1.57E+12,1587,1,1,0,0,-3,38.9565254,-77.1502891
-1098526980,1,1.57E+12,1587,1,1,0,0,-3,38.9565254,-77.1502891
-1098526980,1,1.57E+12,1587,1,1,0,0,5,38.9565254,-77.150289
-1098526980,1,1.57E+12,1587,1,1,0,0,5,38.9565254,-77.150289
-1098526980,1,1.57E+12,1587,1,1,0,0,1,38.9565253,-77.1502889
-1098526980,1,1.57E+12,1587,1,1,0,0,1,38.9565253,-77.1502889
-1098526980,1,1.57E+12,1587,1,1,0,0,-3,38.9565253,-77.1502889
-1098526980,1,1.57E+12,1587,1,1,0,0,-1,38.9565251,-77.1502885
-1098526980,1,1.57E+12,1587,1,1,0,0,-1,38.9565251,-77.1502885
-1098526980,1,1.57E+12,1587,1,1,0,0,-1,38.956525,-77.1502885
-1098526980,1,1.57E+12,1587,1,1,0,0,-1,38.956525,-77.1502886
-1098526980,1,1.57E+12,1587,1,1,0,0,-14,38.9565249,-77.1502882
-1098526980,1,1.57E+12,1587,1,1,0,0,-1,38.9565248,-77.1502883
