vehicle ID,vehicle type,time,number of records,link ID,lane ID,location,speed,acceleration,lat,lon,cum distance
122412072.0,1.0,1570000000000.0,13089.0,1.0,1.0,0.0,6.71081,89.0,38.9550013,-77.14944990000001,0.0263306125191356
122412072.0,1.0,1570000000000.0,13089.0,1.0,1.0,0.0,6.71081,89.0,38.9549989,-77.14944670000001,0.3182056348361719
122412072.0,1.0,1570000000000.0,13089.0,1.0,1.0,0.0,6.71081,89.0,38.9550013,-77.14944990000001,0.0263306125191356
122412072.0,1.0,1570000000000.0,13089.0,1.0,1.0,0.0,6.71081,89.0,38.9549989,-77.14944670000001,0.3182056348361719
122412072.0,1.0,1570000000000.0,13089.0,1.0,1.0,0.0,6.71081,-34.0,38.9549963,-77.14944279999999,0.6717993701906906
122412072.0,1.0,1570000000000.0,13089.0,1.0,1.0,0.0,6.71081,-34.0,38.9549963,-77.14944279999999,0.6717993701906906
122412072.0,1.0,1570000000000.0,13089.0,1.0,1.0,0.0,6.71081,34.0,38.954994,-77.1494398,0.9457597696879922
122412072.0,1.0,1570000000000.0,13089.0,1.0,1.0,0.0,6.71081,34.0,38.954994,-77.1494398,0.9457597696879922
122412072.0,1.0,1570000000000.0,13089.0,1.0,1.0,0.0,6.71081,34.0,38.9549916,-77.1494368,1.2203752546707811
122412072.0,1.0,1570000000000.0,13089.0,1.0,1.0,0.0,6.71081,34.0,38.9549916,-77.1494368,1.2203752546707811
122412072.0,1.0,1570000000000.0,13089.0,1.0,1.0,0.0,6.71081,-47.0,38.95499,-77.1494336,1.507009786620685
122412072.0,1.0,1570000000000.0,13089.0,1.0,1.0,0.0,6.71081,-47.0,38.95499,-77.1494336,1.507009786620685
122412072.0,1.0,1570000000000.0,13089.0,1.0,1.0,0.0,6.71081,-47.0,38.9549881,-77.1494311,1.7352009761841494
122412072.0,1.0,1570000000000.0,13089.0,1.0,1.0,0.0,6.71081,-47.0,38.9549881,-77.1494311,1.7352009761841494
122412072.0,1.0,1570000000000.0,13089.0,1.0,1.0,0.0,6.71081,-127.0,38.9549859,-77.1494273,2.077544719557249
122412072.0,1.0,1570000000000.0,13089.0,1.0,1.0,0.0,6.71081,-127.0,38.9549859,-77.1494273,2.077544719557249
122412072.0,1.0,1570000000000.0,13089.0,1.0,1.0,0.0,6.71081,-127.0,38.954983899999995,-77.14942420000001,2.358169772607578
122412072.0,1.0,1570000000000.0,13089.0,1.0,1.0,0.0,6.71081,-127.0,38.95498189999999,-77.1494213,2.621535250985385
